,longitude,latitude,date,time,time_zone,diffuse,type,sza
073123_SNOW1,7.46483,60.56765,2023-07-31,1220,Europe/Oslo,0,HCRF25,42.3
073123_SNOW2,7.46484,60.56766,2023-07-31,1336,Europe/Oslo,0,HCRF25,43.9
073123_SNOW3,7.46485,60.56767,2023-07-31,1358,Europe/Oslo,1,HCRF25,50.0
073123_SNOW4,7.46486,60.56768,2023-07-31,1431,Europe/Oslo,1,HCRF25,50.0
073123_SNOW5,7.46487,60.56769,2023-07-31,1443,Europe/Oslo,1,HCRF25,50.0
073123_SNOW6,7.46488,60.5677,2023-07-31,1510,Europe/Oslo,1,HCRF25,50.0
073123_SNOW7,7.46489,60.56771,2023-07-31,1524,Europe/Oslo,1,HCRF25,50.0
073123_SNOW8,7.4649,60.56772,2023-07-31,1609,Europe/Oslo,1,HCRF25,50.0
073123_SNOW9,7.46491,60.56773,2023-07-31,1614,Europe/Oslo,1,HCRF25,50.0
080123_SNOW10,7.46484,60.56766,2023-08-01,1253,Europe/Oslo,0,HCRF25,42.8
080123_SNOW11,7.46485,60.56767,2023-08-01,1304,Europe/Oslo,1,HCRF25,50.0
080123_SNOW12,7.46486,60.56768,2023-08-01,1311,Europe/Oslo,1,HCRF25,50.0
080123_SNOW13,7.46487,60.56769,2023-08-01,1321,Europe/Oslo,0,HCRF25,43.5
080123_SNOW14,7.46488,60.5677,2023-08-01,1333,Europe/Oslo,0,HCRF25,44.0
080123_SNOW15,7.46489,60.56771,2023-08-01,1342,Europe/Oslo,1,HCRF25,50.0
080123_SNOW16,7.4649,60.56772,2023-08-01,1426,Europe/Oslo,1,HCRF25,50.0
080123_SNOW17,7.46491,60.56773,2023-08-01,1432,Europe/Oslo,0,HCRF25,47.8
080123_SNOW18,7.46492,60.56774,2023-08-01,1441,Europe/Oslo,1,HCRF25,50.0
080123_SNOW19,7.46493,60.56775,2023-08-01,1447,Europe/Oslo,1,HCRF25,50.0
080123_SNOW1,7.46482,60.56764,2023-08-01,1139,Europe/Oslo,0,HCRF25,43.5
080123_SNOW20,7.46494,60.56776,2023-08-01,1456,Europe/Oslo,1,HCRF25,50.0
080123_SNOW21,7.46495,60.56777,2023-08-01,1504,Europe/Oslo,1,HCRF25,50.0
080123_SNOW22,7.46496,60.56778,2023-08-01,1524,Europe/Oslo,0,HCRF25,52.6
080123_SNOW23,7.46497,60.56779,2023-08-01,1538,Europe/Oslo,0,HCRF25,54.0
080123_SNOW2,7.46482,60.56764,2023-08-01,1148,Europe/Oslo,0,HCRF25,43.2
080123_SNOW3,7.46482,60.56764,2023-08-01,1154,Europe/Oslo,0,HCRF25,43.0
080123_SNOW4,7.46482,60.56764,2023-08-01,1205,Europe/Oslo,0,HCRF25,42.8
080123_SNOW5,7.46482,60.56764,2023-08-01,1212,Europe/Oslo,0,HCRF25,42.7
080123_SNOW6,7.46482,60.56764,2023-08-01,1220,Europe/Oslo,0,HCRF25,42.6
080123_SNOW7,7.46482,60.56764,2023-08-01,1229,Europe/Oslo,0,HCRF25,42.5
080123_SNOW8,7.46482,60.56764,2023-08-01,1239,Europe/Oslo,0,HCRF25,42.6
080123_SNOW9,7.46483,60.56765,2023-08-01,1245,Europe/Oslo,0,HCRF25,42.6
080623_SNOW10,7.46507,60.56789,2023-08-06,1453,Europe/Oslo,1,HCRF25,50.0
080623_SNOW11,7.46508,60.5679,2023-08-06,1504,Europe/Oslo,1,HCRF25,50.0
080623_SNOW12,7.46509,60.56791,2023-08-06,1517,Europe/Oslo,1,HCRF25,50.0
080623_SNOW13,7.4651,60.56792,2023-08-06,1523,Europe/Oslo,1,HCRF25,50.0
080623_SNOW15,7.46512,60.56794,2023-08-06,1535,Europe/Oslo,1,HCRF25,50.0
080623_SNOW16,7.46513,60.56795,2023-08-06,1543,Europe/Oslo,1,HCRF25,50.0
080623_SNOW17,7.46514,60.56796,2023-08-06,1554,Europe/Oslo,1,HCRF25,50.0
080623_SNOW18,7.46515,60.56797,2023-08-06,1603,Europe/Oslo,1,HCRF25,50.0
080623_SNOW19,7.46516,60.56798,2023-08-06,1611,Europe/Oslo,1,HCRF25,50.0
080623_SNOW1,7.46498,60.5678,2023-08-06,1327,Europe/Oslo,1,HCRF25,50.0
080623_SNOW20,7.46517,60.56799,2023-08-06,1622,Europe/Oslo,1,HCRF25,50.0
080623_SNOW21,7.46518,60.568,2023-08-06,1632,Europe/Oslo,1,HCRF25,50.0
080623_SNOW22,7.46519,60.56801,2023-08-06,1638,Europe/Oslo,1,HCRF25,50.0
080623_SNOW23,7.4652,60.56802,2023-08-06,1644,Europe/Oslo,1,HCRF25,50.0
080623_SNOW24,7.46521,60.56803,2023-08-06,1656,Europe/Oslo,1,HCRF25,50.0
080623_SNOW25,7.46522,60.56804,2023-08-06,1707,Europe/Oslo,1,HCRF25,50.0
080623_SNOW2,7.46499,60.56781,2023-08-06,1334,Europe/Oslo,1,HCRF25,50.0
080623_SNOW3,7.465,60.56782,2023-08-06,1350,Europe/Oslo,1,HCRF25,50.0
080623_SNOW4,7.46501,60.56783,2023-08-06,1401,Europe/Oslo,1,HCRF25,50.0
080623_SNOW5,7.46502,60.56784,2023-08-06,1409,Europe/Oslo,1,HCRF25,50.0
080623_SNOW6,7.46503,60.56785,2023-08-06,1417,Europe/Oslo,1,HCRF25,50.0
080623_SNOW7,7.46504,60.56786,2023-08-06,1429,Europe/Oslo,1,HCRF25,50.0
080623_SNOW8,7.46505,60.56787,2023-08-06,1436,Europe/Oslo,1,HCRF25,50.0
080623_SNOW9,7.46506,60.56788,2023-08-06,1447,Europe/Oslo,1,HCRF25,50.0
